model,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_precision_mean,weighted_precision_std,weighted_recall_mean,weighted_recall_std,weighted_f1_mean,weighted_f1_std,roc_auc_macro_ovr_mean,roc_auc_macro_ovr_std,inference_latency_ms_per_sample_mean,inference_latency_ms_per_sample_std
Extra Trees,0.8600550964187327,0.03561718205816856,0.7069064222293289,0.1382049723213768,0.7195376880663064,0.1083858605381607,0.6807650508785255,0.08817157535238702,0.8654912564442325,0.05850748634995241,0.8600550964187327,0.03561718205816856,0.8466568877475327,0.029142943005583656,0.9263581386321523,0.0528378139135153,0.008087331680369911,0.00036969270271977817
Linear SVM-SGD,0.6975206611570247,0.0901849445666363,0.49962084095672515,0.06074785465628553,0.5325620243379016,0.030523661046710678,0.49144145724927,0.04948038275507277,0.73406321537738,0.019598620839457095,0.6975206611570247,0.0901849445666363,0.7019501836505274,0.05934854469337021,,,0.0006143526170540188,6.306313787954811e-05
Logistic Regression,0.7013774104683196,0.06919153835409046,0.5358887769700266,0.05508194191580561,0.5643813740486446,0.0553363000671714,0.5314054239595987,0.03956106040332029,0.7390379393626941,0.061332837263858596,0.7013774104683196,0.06919153835409046,0.7124495217093534,0.056448628785943124,0.6971999163751702,0.0755404470880326,0.00062601542696548,0.00018013713812946305
Majority Dummy,0.6203856749311295,0.16196941525568584,0.20679522497704317,0.053989805085228625,0.3333333333333333,0.0,0.25239333579728496,0.04279830001935954,0.40236777997859896,0.19383153107628237,0.6203856749311295,0.16196941525568584,0.48359134247040414,0.19579412920844935,0.5,0.0,6.822314052875831e-05,7.194465674062486e-06
Random Forest,0.8848484848484849,0.032234936586909284,0.7319704191983929,0.16435419393540077,0.7684289056163321,0.14522940786131852,0.7238198397756624,0.14424997280833002,0.8918653634313084,0.07242722461717052,0.8848484848484849,0.032234936586909284,0.8773514198072649,0.05118021950747937,0.9442748515526489,0.05619291751635125,0.006565025344285415,0.00032178463492585536
VitalBoostNet,0.8473829201101929,0.040968179493159805,0.7009964538481644,0.1594140776158811,0.7261671104085577,0.12509808432811909,0.6823653971339159,0.11123644566764831,0.859091570206301,0.07004413713027738,0.8473829201101929,0.040968179493159805,0.8408353736328783,0.044003230463528976,0.908194368307741,0.045804106101436544,0.007754621487671985,0.00020499265545706827
